"State","Favorite","most.pop.city"
"Alaska","Mediterranean","Anchorage"
"Alabama","Thai","Birmingham"
"Arkansas","Korean","Little Rock"
"Arizona","Mexican","Phoenix"
"California","Korean","Los Angeles"
"Colorado","Mexican","Denver"
"Conneticut","Indian","Bridgeport"
"Deleware","Mediterranean","Wilmington"
"Flordia","Mexican","Jacksonville"
"Georgia","Mediterranean","Atlanta"
"Hawaii","Japenese","Honolulu"
"Iowa","Japenese","Des Moines"
"Idaho","Thai","Boise"
"Illinois","Mediterranean","Chicago"
"Indiana","Mexican","Indianapolis"
"Kansas","Thai","Wichita"
"Kentucky","Korean","Louisville"
"Louisiana","Indian","New Orleans"
"Massachusetts","Italian","Boston"
"Maryland","Italian","Baltimore"
"Maine","Japenese","Portland"
"Michigan","Mediterranean","Detroit"
"Minnesota","Italian","Minneapolis"
"Missouri","Mediterranean","Kansas City"
"Mississippi","Korean","Jackson"
"Montana","Mediterranean","Billings"
"North Carolina","Mexican","Charlotte"
"North Dakota","Indian","Fargo"
"Nebraska","Mediterranean","Omaha"
"New Hampshire","Korean","Manchester"
"New Jersey","Korean","Newark"
"New Mexico","Indian","Albuquerque"
"Nevada","Japenese","Las Vegas"
"New York","Indian","New York City"
"Ohio","Mediterranean","Columbus"
"Oklahoma","Korean","Oklahoma City"
"Oregon","Thai","Portland"
"Pennsylvania","Mediterranean","Philadelphia"
"Rhode Island","Mexican","Providence"
"South Carolina","Korean","Columbia"
"South Dakota","Indian","Sioux Falls"
"Tennessee","Indian","Memphis"
"Texas","Mexican","Houston"
"Utah","Mexican","Salt Lake City"
"Virginia","Korean","Virginia Beach"
"Vermont","Mediterranean","Burlington"
"Washington","Mediterranean","Seattle"
"Wisconsin","Indian","Milwaukee"
"West Virginia","Thai","Charleston"
"Wyoming","Mediterranean","Cheyenne"
